Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,SoilType,WildernessArea,Average_Hillshade
2148,121,18,30,6,1240,1206,1,4,189.0
2142,133,12,0,0,1256,1236,1,4,199.0
2140,135,5,0,0,1273,1266,17,4,203.33333333333334
2138,124,3,30,-3,1290,1296,17,4,202.66666666666666
2135,182,8,0,0,1308,1325,17,4,208.33333333333334
2136,203,20,0,0,1326,1351,17,4,211.33333333333334
2128,342,9,0,0,1332,1353,17,4,197.66666666666666
2132,353,15,0,0,1282,1362,17,4,187.66666666666666
2137,13,12,0,0,1266,1366,17,4,188.33333333333334
2130,38,5,30,-6,1250,1371,17,4,197.33333333333334
2133,233,9,30,0,1235,1377,17,4,211.66666666666666
2111,238,3,0,0,1148,1333,17,4,207.33333333333334
2118,299,9,30,7,1138,1317,17,4,204.66666666666666
2118,317,11,60,4,1129,1302,17,4,200.33333333333334
2126,296,21,85,16,1121,1288,17,4,198.66666666666666
2223,343,37,190,98,1113,1142,10,4,147.0
2299,325,20,497,224,1282,1159,10,4,188.66666666666666
2304,20,19,350,141,1423,939,10,4,174.0
2278,58,17,268,132,1364,782,10,4,177.66666666666666
2235,113,23,212,99,1290,684,3,4,176.66666666666666
2195,98,22,134,69,1240,616,3,4,175.0
2187,107,22,108,61,1224,594,3,4,177.33333333333334
2140,109,28,30,15,1181,534,3,4,165.66666666666666
2125,109,17,0,0,1167,516,3,4,187.33333333333334
2127,334,24,30,9,1131,470,4,4,178.33333333333334
2326,30,22,234,24,960,153,6,4,166.33333333333334
2319,37,22,212,17,960,162,6,4,166.66666666666666
2280,53,12,0,0,990,390,6,4,186.0
2279,306,9,30,5,997,418,16,4,203.33333333333334
2059,322,17,0,0,569,726,14,4,193.66666666666666
3209,62,18,42,9,3840,2967,39,1,174.66666666666666
2829,98,13,295,73,1842,882,13,3,189.66666666666666
2793,232,25,67,28,2260,721,13,3,211.66666666666666
2985,239,8,319,49,319,1418,32,3,210.66666666666666
2295,159,18,153,41,339,466,4,4,201.33333333333334
2175,336,11,0,0,1033,525,14,4,196.0
2351,27,14,418,192,1260,618,6,4,183.66666666666666
2157,190,19,0,0,1075,824,17,4,209.33333333333334
2160,199,24,0,0,1087,853,17,4,208.66666666666666
2169,197,31,0,0,1100,883,1,4,202.66666666666666
2145,103,13,0,0,1266,1209,1,4,190.66666666666666
2139,354,9,30,-2,1298,1269,17,4,196.33333333333334
2133,240,9,30,-2,1368,1380,17,4,211.0
2135,347,17,0,0,1326,1381,17,4,186.33333333333334
2139,341,25,0,0,1308,1383,17,4,174.66666666666666
2133,42,17,0,0,1224,1401,17,4,176.66666666666666
2130,45,5,0,0,1209,1406,17,4,197.66666666666666
2129,159,6,0,0,1195,1412,17,4,205.33333333333334
2128,172,9,30,0,1181,1419,17,4,207.33333333333334
2122,129,19,30,7,1155,1406,17,4,190.66666666666666
2115,135,16,0,0,1142,1390,17,4,195.33333333333334
2110,283,9,0,0,1120,1358,17,4,207.0
2119,299,12,30,8,1110,1343,17,4,204.0
2130,283,18,67,6,1092,1315,17,4,204.66666666666666
2295,329,25,458,207,1224,1226,10,4,179.66666666666666
2312,52,10,324,149,1398,953,6,4,189.66666666666666
2305,80,9,295,142,1434,900,10,4,192.66666666666666
2299,91,12,283,141,1445,875,3,4,190.0
2239,120,27,212,99,1332,726,3,4,173.0
2205,120,26,150,75,1282,658,3,4,174.66666666666666
2163,125,30,67,37,1235,595,3,4,170.0
2147,122,31,42,21,1221,576,3,4,167.0
2132,117,24,30,7,1207,558,3,4,177.0
2200,341,24,0,0,1082,576,10,4,177.0
2214,317,12,0,0,1090,636,1,4,199.33333333333334
2216,284,10,0,0,1095,612,1,4,206.66666666666666
2058,329,8,0,0,607,768,3,4,199.66666666666666
2091,315,28,95,50,497,679,10,4,181.33333333333334
2107,18,30,190,115,228,495,10,4,149.33333333333334
2037,57,32,30,17,228,484,10,4,139.66666666666666
3175,146,5,0,0,3420,3212,23,1,204.0
3062,159,19,417,142,1290,3224,29,1,200.66666666666666
2865,53,9,0,0,242,2181,23,1,192.0
2815,101,14,228,61,1902,853,31,3,189.0
2787,108,13,127,34,1978,764,31,3,191.66666666666666
2279,151,9,120,17,234,309,10,4,203.66666666666666
2289,160,20,120,35,339,446,4,4,200.0
2192,159,16,0,0,816,420,4,4,202.33333333333334
2191,190,18,0,0,841,421,4,4,210.0
2322,45,15,285,98,1127,350,6,4,180.66666666666666
2157,8,7,30,0,1115,859,17,4,197.0
2154,187,20,0,0,1140,918,17,4,208.33333333333334
2149,107,18,30,4,1276,1184,1,4,184.33333333333334
2144,22,7,0,0,1291,1213,17,4,195.66666666666666
2150,352,26,42,12,1323,1273,17,4,168.33333333333334
2141,328,9,30,6,1341,1410,17,4,200.0
2128,27,9,0,0,1154,1448,17,4,192.66666666666666
2126,72,10,0,0,1140,1448,17,4,190.33333333333334
2117,88,17,30,2,1127,1431,17,4,182.0
2116,307,17,0,0,1092,1384,17,4,198.66666666666666
2124,317,13,0,0,1082,1370,17,4,199.0
2125,307,7,30,1,1072,1355,17,4,204.0
2131,271,15,60,7,1063,1342,17,4,209.0
2219,12,23,201,98,1024,1262,1,4,168.0
2212,331,28,218,91,1020,1237,10,4,173.0
2306,342,26,361,197,1127,1230,10,4,170.66666666666666
2328,67,12,339,145,1340,1020,6,4,186.66666666666666
2310,114,14,300,127,1374,967,6,4,192.0
2304,135,14,283,141,1392,942,3,4,197.33333333333334
2292,136,19,256,129,1429,890,3,4,193.0
2285,138,20,242,127,1448,865,3,4,192.33333333333334
2269,133,24,216,111,1410,816,3,4,185.33333333333334
2259,126,25,201,101,1392,792,3,4,179.33333333333334
2246,118,27,190,100,1374,768,3,4,172.33333333333334
2205,128,26,150,69,1323,700,3,4,179.66666666666666
2194,128,28,127,58,1307,679,3,4,175.0
2181,124,29,108,51,1291,658,3,4,171.0
2171,356,20,0,0,1130,480,10,4,178.66666666666666
2227,346,23,0,0,1124,607,10,4,174.66666666666666
2231,345,20,0,0,1130,577,10,4,182.0
2230,337,14,0,0,1136,547,10,4,193.33333333333334
2259,228,14,30,5,1103,400,1,4,213.0
2340,275,28,108,44,1041,201,6,4,199.33333333333334
2280,4,7,0,0,1048,371,16,4,197.0
2058,9,5,0,0,646,811,3,4,199.33333333333334
2063,321,17,0,0,618,787,14,4,194.33333333333334
2140,14,28,234,74,300,552,10,4,154.0
2127,27,27,192,72,268,532,10,4,153.66666666666666
2043,334,27,67,39,319,541,10,4,173.66666666666666
2072,240,26,212,74,433,607,5,4,210.0
2769,117,17,67,19,2040,745,31,3,189.0
2776,8,21,85,28,2465,644,31,3,172.0
2279,207,17,90,17,297,376,10,4,212.33333333333334
2198,126,13,0,0,787,395,14,4,196.0
2187,205,4,0,0,882,395,14,4,207.33333333333334
2199,188,24,0,0,932,408,4,4,206.33333333333334
2159,335,7,0,0,1110,779,17,4,200.33333333333334
2173,348,28,30,17,1131,837,17,4,165.66666666666666
2152,45,14,0,0,1167,924,17,4,183.66666666666666
2147,207,4,0,0,1181,953,17,4,208.0
2154,219,21,30,7,1195,983,17,4,212.66666666666666
2166,207,28,30,13,1209,1012,1,4,208.0
2151,328,22,0,0,1317,1218,17,4,184.0
2184,21,35,67,41,1207,1451,10,4,135.0
2137,24,21,30,7,1128,1477,17,4,169.0
2123,46,23,0,0,1100,1456,17,4,164.0
2115,335,19,30,8,1075,1425,17,4,186.66666666666666
2130,341,13,0,0,1053,1396,17,4,192.66666666666666
2128,4,7,30,4,1044,1382,17,4,197.0
2129,275,12,42,-2,1034,1369,17,4,208.33333333333334
2225,332,23,247,111,990,1266,10,4,181.33333333333334
2268,10,31,272,143,997,1233,10,4,150.0
2326,261,6,404,143,1242,1140,6,4,208.33333333333334
2332,225,3,361,144,1279,1087,6,4,207.33333333333334
2315,119,21,297,132,1332,1008,6,4,183.66666666666666
2285,142,21,228,122,1406,907,3,4,191.66666666666666
2276,140,23,216,113,1425,882,3,4,189.33333333333334
2268,140,24,201,110,1445,858,3,4,188.0
2259,138,26,190,101,1434,834,3,4,184.66666666666666
2249,134,26,175,91,1416,811,3,4,181.66666666666666
2225,114,25,153,79,1381,765,3,4,174.66666666666666
2198,104,23,127,58,1348,721,3,4,173.33333333333334
2184,108,26,108,48,1333,700,3,4,170.33333333333334
2171,114,27,85,35,1317,680,3,4,169.66666666666666
2132,106,16,30,6,1275,624,3,4,187.33333333333334
2250,313,12,0,0,1155,454,10,4,200.66666666666666
2254,312,13,0,0,1142,424,1,4,200.0
2260,310,13,0,0,1131,395,1,4,200.66666666666666
2264,310,11,0,0,1120,365,1,4,201.33333333333334
2370,189,14,162,68,1057,108,6,4,210.0
2362,117,15,212,50,1052,67,6,4,191.66666666666666
2317,90,8,67,15,1052,190,6,4,195.66666666666666
2291,129,16,0,0,1065,306,6,4,193.66666666666666
2284,4,3,0,0,1071,335,16,4,201.0
2128,55,18,127,73,277,547,10,4,175.0
2032,61,12,0,0,295,547,1,4,186.33333333333334
2044,312,28,60,24,324,560,10,4,182.33333333333334
2055,325,26,85,42,342,569,10,4,179.66666666666666
2832,107,17,258,73,1889,960,13,3,185.33333333333334
2943,233,15,108,27,324,1325,32,3,213.0
2270,148,12,60,8,283,342,10,4,202.0
2205,139,22,0,0,764,379,4,4,190.33333333333334
2225,172,28,30,8,1090,242,1,4,196.66666666666666
2161,310,4,0,0,1129,759,17,4,204.0
2165,309,19,0,0,1138,787,17,4,195.33333333333334
2178,314,30,30,19,1148,816,17,4,178.0
2156,18,28,0,0,1207,960,17,4,154.66666666666666
2153,217,2,0,0,1235,1019,17,4,206.33333333333334
2157,177,18,0,0,1282,1106,17,4,206.66666666666666
2153,326,20,0,0,1329,1194,17,4,187.66666666666666
2191,33,33,90,48,1165,1485,10,4,137.33333333333334
2138,13,11,0,0,1025,1422,10,4,190.0
2331,339,25,384,206,1060,1283,10,4,174.66666666666666
2320,150,8,404,139,1200,1181,6,4,204.0
2325,198,17,361,142,1237,1128,6,4,211.0
2327,188,15,339,144,1256,1101,6,4,209.66666666666666
2298,129,21,255,115,1326,999,3,4,187.0
2289,133,21,234,106,1345,973,3,4,189.33333333333334
2274,142,23,201,111,1383,924,3,4,189.66666666666666
2257,141,25,175,94,1423,876,3,4,187.66666666666666
2248,137,26,162,90,1443,853,3,4,184.33333333333334
2237,136,26,150,79,1440,830,3,4,183.0
2228,134,25,134,70,1423,807,3,4,184.33333333333334
2219,128,23,124,61,1406,785,3,4,184.0
2151,113,25,42,15,1329,684,3,4,174.0
2130,82,7,0,0,1301,649,3,4,196.66666666666666
2133,322,11,0,0,1289,633,4,4,199.0
2166,260,15,67,8,1216,553,10,4,210.66666666666666
2261,359,29,60,34,1189,571,10,4,158.33333333333334
2276,326,18,0,0,1138,331,1,4,191.66666666666666
2315,134,14,42,13,1082,182,6,4,197.33333333333334
2292,108,13,0,0,1090,272,16,4,192.33333333333334
2321,322,21,85,41,1121,421,10,4,188.66666666666666
2329,312,14,134,49,1138,481,5,4,199.33333333333334
2068,65,5,0,0,725,895,3,4,198.33333333333334
2129,323,32,134,76,541,745,10,4,169.33333333333334
2036,102,17,0,0,313,573,1,4,184.0
3193,78,8,67,4,3722,3130,23,1,195.0
3055,190,12,361,63,1864,3800,23,1,210.0
2886,102,16,339,120,1813,1099,32,3,187.0
2782,127,16,108,28,2029,850,31,3,193.0
2971,198,16,124,22,1293,1599,32,3,211.33333333333334
2205,123,21,0,0,764,362,4,4,185.33333333333334
2198,11,4,0,0,785,351,14,4,200.33333333333334
2199,17,21,60,9,942,342,10,4,170.0
2224,133,20,0,0,1130,272,1,4,190.0
2212,164,8,0,0,1120,272,17,4,206.0
2214,219,6,0,0,1116,277,1,4,209.66666666666666
2222,191,22,30,8,1110,324,1,4,208.33333333333334
2226,186,23,30,11,1110,342,1,4,206.33333333333334
2216,145,6,0,0,1110,404,17,4,203.66666666666666
2213,139,5,0,0,1110,426,17,4,203.33333333333334
2215,193,12,0,0,1110,450,1,4,210.33333333333334
2161,74,8,0,0,1150,741,17,4,193.66666666666666
2162,289,9,0,0,1158,769,17,4,206.0
2171,21,35,30,15,1248,997,10,4,135.66666666666666
2127,255,5,30,-4,977,1423,17,4,208.0
2138,252,20,42,8,968,1410,17,4,211.0
2344,351,18,426,219,1047,1318,10,4,182.66666666666666
2326,87,20,404,146,1158,1221,6,4,176.0
2314,122,16,382,134,1176,1195,6,4,192.0
2311,167,18,361,130,1195,1168,6,4,203.66666666666666
2310,191,23,339,129,1214,1142,3,4,207.33333333333334
2318,193,23,319,135,1231,1116,6,4,208.66666666666666
2291,131,22,234,108,1302,1015,3,4,186.33333333333334
2282,132,21,212,99,1321,990,3,4,188.66666666666666
2264,133,23,175,81,1360,942,3,4,186.33333333333334
2238,134,24,134,75,1421,872,3,4,184.33333333333334
2228,134,26,124,70,1442,850,3,4,182.66666666666666
2218,138,25,108,60,1448,828,3,4,185.33333333333334
2201,139,24,90,43,1415,785,3,4,188.0
2180,117,31,67,40,1384,745,3,4,163.33333333333334
2147,116,22,30,11,1355,708,3,4,180.33333333333334
2345,216,21,120,43,1120,120,6,4,212.33333333333334
2341,110,14,127,29,1110,30,6,4,191.33333333333334
2297,68,8,0,0,1116,240,16,4,194.33333333333334
2333,317,13,150,52,1167,457,5,4,199.0
2071,87,10,30,3,765,912,3,4,192.66666666666666
2072,327,13,0,0,738,914,14,4,196.66666666666666
2079,324,21,30,11,711,892,14,4,187.66666666666666
2120,308,27,108,62,607,807,10,4,185.33333333333334
2145,321,31,150,87,558,768,10,4,173.0
2155,326,30,175,102,534,750,10,4,172.0
2186,350,19,283,147,446,685,10,4,182.0
2132,119,29,108,66,342,612,1,4,170.0
2082,130,36,42,27,330,601,1,4,161.66666666666666
3194,71,10,60,5,3723,3156,23,1,191.0
3100,96,31,162,32,2794,3697,22,1,154.66666666666666
3060,205,15,395,80,1627,3565,22,1,212.0
2845,112,23,255,81,1894,1045,13,3,177.33333333333334
2807,122,18,175,48,1974,955,13,3,188.33333333333334
2808,253,15,0,0,1921,1068,13,3,211.66666666666666
2253,170,5,0,0,404,474,10,4,206.33333333333334
2253,191,7,0,0,424,499,10,4,209.0
2203,18,6,0,0,785,335,14,4,197.33333333333334
2210,329,19,90,11,1057,366,10,4,188.66666666666666
2219,110,10,0,0,1159,301,17,4,196.66666666666666
2215,350,12,30,-1,1150,301,17,4,192.33333333333334
2220,340,15,0,0,1146,306,17,4,190.0
2214,357,5,0,0,1140,335,17,4,200.33333333333334
2215,323,9,0,0,1140,350,17,4,200.0
2217,340,12,0,0,1140,366,17,4,194.66666666666666
2219,0,14,0,0,1140,384,17,4,188.0
2221,354,17,0,0,1140,404,17,4,183.66666666666666
2226,356,21,30,7,1140,424,17,4,177.0
2212,245,10,0,0,1140,492,1,4,211.33333333333334
2164,40,16,0,0,1179,752,17,4,179.33333333333334
2162,322,8,0,0,1187,780,17,4,201.33333333333334
2172,261,18,30,10,1195,808,10,4,210.0
2172,8,33,60,19,1317,1092,10,4,145.33333333333334
2225,34,37,150,95,1116,1544,10,4,127.0
2137,54,20,0,0,959,1463,10,4,169.33333333333334
2132,252,14,30,2,940,1438,17,4,211.66666666666666
2144,249,27,60,14,931,1426,17,4,208.0
2340,99,21,404,159,1116,1262,6,4,176.66666666666666
2326,103,24,382,145,1134,1235,6,4,171.33333333333334
2312,113,22,361,132,1153,1209,6,4,179.33333333333334
2301,141,19,339,121,1172,1183,3,4,195.0
2306,183,21,277,123,1224,1107,6,4,206.66666666666666
2304,143,18,255,121,1242,1082,6,4,196.66666666666666
2293,118,21,234,105,1260,1057,6,4,182.66666666666666
2281,119,19,212,93,1279,1032,3,4,187.0
2257,118,22,150,74,1338,960,3,4,181.0
2245,128,23,134,62,1358,937,3,4,183.33333333333334
2238,139,24,124,75,1379,914,3,4,187.33333333333334
2229,138,27,108,66,1400,892,3,4,182.66666666666666
2206,141,28,85,48,1442,849,3,4,183.0
2199,146,27,67,41,1456,828,3,4,186.66666666666666
2190,147,28,60,32,1441,807,3,4,185.33333333333334
2181,143,29,60,23,1425,787,3,4,181.66666666666666
2170,129,31,42,24,1410,768,3,4,171.0
2140,109,14,0,0,1382,732,3,4,191.66666666666666
2215,12,25,30,14,1243,601,10,4,164.0
2317,97,13,42,8,1140,124,6,4,189.0
2068,327,34,67,32,390,641,10,4,163.33333333333334
2090,15,23,175,70,450,674,10,4,167.33333333333334
3052,195,16,361,72,1660,3598,22,1,210.66666666666666
2897,223,8,90,13,1610,1543,32,3,210.66666666666666
2260,126,4,0,0,295,366,10,4,203.0
2251,175,5,0,0,467,541,10,4,206.66666666666666
2212,129,23,0,0,768,342,4,4,183.66666666666666
2206,24,3,0,0,787,324,14,4,201.0
2376,0,1,446,212,1423,711,6,4,203.0
2220,48,7,0,0,1189,331,17,4,194.33333333333334
2238,2,36,30,21,1170,408,10,4,137.66666666666666
2169,338,11,0,0,1224,819,17,4,195.66666666666666
2175,223,10,0,0,1233,847,17,4,212.0
2177,192,19,0,0,1243,875,17,4,209.66666666666666
2223,340,39,120,79,1209,1477,10,4,142.33333333333334
2175,7,28,120,37,979,1544,10,4,156.66666666666666
2341,320,17,395,216,911,1351,6,4,193.66666666666666
2351,351,17,430,226,953,1362,10,4,184.66666666666666
2344,117,17,404,160,1074,1302,6,4,188.66666666666666
2333,109,22,382,149,1092,1276,6,4,178.33333333333334
2320,102,24,361,139,1110,1250,6,4,171.33333333333334
2294,114,19,319,114,1148,1199,3,4,185.33333333333334
2289,157,16,297,109,1165,1173,3,4,202.33333333333334
2289,190,21,277,108,1182,1148,3,4,208.66666666666666
2293,199,22,255,112,1200,1123,3,4,210.33333333333334
2290,116,17,212,107,1237,1074,3,4,188.66666666666666
2274,109,17,170,86,1276,1026,3,4,186.33333333333334
2253,115,24,127,70,1316,979,3,4,177.0
2194,145,31,60,31,1421,870,3,4,179.0
2183,150,31,42,25,1443,850,3,4,181.66666666666666
2175,152,31,30,17,1465,830,3,4,183.66666666666666
2165,149,28,30,7,1451,811,3,4,186.33333333333334
2156,135,22,30,10,1437,792,3,4,188.0
2146,100,14,0,0,1422,774,3,4,188.0
2140,21,10,0,0,1409,757,4,4,191.33333333333334
2289,297,29,124,54,1260,664,10,4,188.33333333333334
2307,18,23,134,63,1277,573,10,4,166.33333333333334
2289,335,22,120,45,1265,454,10,4,181.33333333333334
2325,302,8,95,23,1184,162,6,4,204.33333333333334
2338,248,9,150,12,1176,108,6,4,210.66666666666666
2309,51,3,0,0,1170,162,6,4,200.33333333333334
2312,344,8,0,0,1172,190,16,4,197.66666666666666
2083,316,15,0,0,793,886,14,4,196.66666666666666
2102,318,24,42,21,741,933,10,4,185.33333333333334
2147,285,28,170,80,618,834,10,4,195.0
2081,111,28,30,15,391,663,1,4,167.0
2055,45,11,0,0,391,660,10,4,189.0
3197,36,12,42,6,3696,3223,39,1,186.0
2903,337,31,256,54,270,1661,30,1,164.0
2890,239,6,60,6,1611,1595,32,3,209.33333333333334
2893,220,8,60,8,1637,1557,32,3,210.66666666666666
2900,230,7,67,13,1664,1504,32,3,210.33333333333334
2798,112,18,134,34,2018,997,13,3,186.66666666666666
2826,29,14,242,68,2520,759,24,3,183.0
2313,123,17,150,32,90,342,11,4,190.66666666666666
2307,136,15,127,26,108,335,11,4,197.33333333333334
2247,68,4,0,0,509,582,10,4,199.0
2246,204,5,0,0,531,607,10,4,208.0
2216,132,19,0,0,774,339,14,4,191.0
2241,332,14,42,10,1203,371,10,4,194.33333333333334
2266,350,38,60,52,1200,417,10,4,139.33333333333334
2216,100,23,0,0,1200,509,4,4,174.0
2175,18,24,30,6,1262,859,17,4,164.66666666666666
2173,22,13,30,-1,1271,886,17,4,185.33333333333334
2172,296,8,0,0,1282,914,17,4,205.0
2182,272,24,0,0,1292,942,17,4,204.66666666666666
2255,344,40,153,111,1167,1482,10,4,139.33333333333334
2246,46,37,190,114,1050,1557,10,4,124.33333333333333
2135,13,8,0,0,882,1493,17,4,195.66666666666666
2140,265,13,30,5,874,1482,17,4,210.0
2358,337,12,437,233,902,1385,6,4,195.66666666666666
2355,82,5,446,162,999,1396,6,4,198.66666666666666
2353,114,8,424,160,1015,1370,6,4,198.66666666666666
2340,97,15,382,153,1050,1317,6,4,186.33333333333334
2332,93,20,361,148,1068,1291,6,4,177.33333333333334
2321,93,23,339,137,1087,1266,6,4,170.66666666666666
2294,102,23,297,113,1123,1215,3,4,174.66666666666666
2282,128,19,277,102,1140,1190,3,4,190.0
2276,178,18,255,96,1158,1165,3,4,207.33333333333334
2281,210,21,234,100,1176,1140,3,4,212.0
2289,189,16,212,108,1195,1116,3,4,209.66666666666666
2285,139,16,192,102,1214,1092,3,4,196.66666666666666
2206,125,32,60,23,1358,933,3,4,165.66666666666666
2189,135,33,42,26,1379,912,3,4,170.0
2177,144,31,30,14,1401,892,3,4,178.33333333333334
2166,148,27,30,8,1423,872,3,4,187.66666666666666
2158,149,19,0,0,1445,853,3,4,197.0
2150,55,6,0,0,1463,816,3,4,196.66666666666666
2182,7,15,0,0,1348,684,10,4,183.66666666666666
2246,343,27,60,35,1307,660,10,4,169.33333333333334
2277,292,33,90,42,1290,684,10,4,186.33333333333334
2336,0,20,67,27,1224,228,10,4,176.66666666666666
2321,129,17,42,10,1200,108,6,4,193.0
2312,77,3,0,0,1200,150,6,4,200.66666666666666
2094,126,18,30,6,886,792,3,4,190.0
2080,337,8,0,0,834,847,14,4,199.0
2062,75,12,0,0,420,691,10,4,188.0
2115,6,26,201,83,499,731,10,4,162.66666666666666
2119,354,26,228,92,516,741,10,4,167.33333333333334
2122,323,16,234,27,421,808,10,4,193.66666666666666
3200,14,12,60,9,3668,3264,23,1,189.33333333333334
2932,339,24,60,14,384,2278,29,1,176.66666666666666
2932,337,18,335,95,350,1499,30,1,187.33333333333334
2912,39,13,306,102,306,607,29,1,185.33333333333334
2820,41,5,42,0,1342,972,23,3,197.33333333333334
2826,347,6,30,6,1415,1120,23,3,199.33333333333334
2826,343,6,42,-1,1431,1150,23,3,200.0
2888,209,5,30,4,1639,1597,32,3,208.33333333333334
2898,164,8,95,7,1717,1466,32,3,206.0
2894,176,8,212,3,1775,1365,32,3,207.66666666666666
2896,173,9,272,5,1806,1315,32,3,207.33333333333334
2824,115,21,170,58,1982,1082,13,3,182.66666666666666
2795,111,17,108,31,2040,1019,13,3,187.66666666666666
2787,109,16,95,23,2060,999,13,3,188.0
2779,110,15,85,18,2081,979,13,3,189.66666666666666
2270,45,8,0,0,255,379,10,4,193.66666666666666
2239,153,20,0,0,700,470,4,4,197.33333333333334
2232,147,27,0,0,722,443,4,4,187.0
2221,163,27,0,0,738,417,4,4,194.66666666666666
2224,175,28,30,3,752,391,4,4,198.66666666666666
2222,160,25,30,8,767,366,4,4,195.0
2243,255,19,30,12,1233,400,10,4,210.66666666666666
2264,306,23,67,29,1230,418,2,4,192.0
2233,69,34,30,17,1230,511,4,4,136.33333333333334
2180,8,20,30,8,1310,926,17,4,175.33333333333334
2190,293,23,0,0,1320,953,17,4,198.0
2255,350,41,180,111,1199,1423,10,4,130.33333333333334
2265,341,46,180,121,1183,1433,10,4,122.33333333333333
2140,47,13,0,0,854,1521,10,4,185.33333333333334
2138,277,4,0,0,845,1510,17,4,206.0
2364,51,10,446,170,957,1437,6,4,190.33333333333334
2358,65,10,426,165,973,1410,6,4,191.33333333333334
2354,74,10,404,161,990,1384,6,4,192.0
2348,81,12,382,155,1008,1358,6,4,189.0
2318,103,24,319,134,1064,1282,6,4,172.0
2305,106,26,297,121,1082,1256,3,4,169.66666666666666
2291,109,27,277,110,1099,1231,3,4,169.33333333333334
2268,165,16,234,88,1134,1182,3,4,204.0
2272,212,21,212,92,1153,1158,3,4,212.33333333333334
2278,153,20,170,97,1191,1110,3,4,197.33333333333334
2258,132,27,127,75,1231,1064,3,4,179.0
2211,126,32,42,28,1315,976,3,4,167.0
2194,123,34,30,11,1337,955,3,4,160.33333333333334
2175,126,30,30,12,1358,934,3,4,170.66666666666666
2163,130,19,0,0,1380,914,3,4,191.0
2156,9,9,0,0,1425,876,3,4,193.66666666666666
2248,303,31,95,37,1342,691,10,4,182.66666666666666
2261,16,27,42,24,1332,691,10,4,157.0
2327,321,23,150,37,1300,408,10,4,185.66666666666666
2342,25,11,108,33,1248,216,6,4,189.33333333333334
2318,80,12,30,7,1230,134,6,4,189.33333333333334
2311,30,7,0,0,1230,150,6,4,195.66666666666666
2342,342,17,134,40,1248,351,10,4,188.0
2087,8,10,0,0,875,808,14,4,191.66666666666666
2094,90,23,60,21,459,730,1,4,170.0
2073,67,17,0,0,451,722,10,4,178.0
3202,4,12,60,11,3550,3349,23,1,189.66666666666666
2823,312,7,30,0,1410,1065,23,3,203.33333333333334
2862,291,11,124,-18,1604,1421,23,3,205.33333333333334
2885,209,5,0,0,1678,1583,23,3,208.33333333333334
2891,246,8,0,0,1704,1559,23,3,210.66666666666666
2896,171,5,60,5,1731,1507,32,3,206.33333333333334
2893,104,2,180,2,1786,1406,32,3,202.66666666666666
2892,163,5,240,1,1816,1357,32,3,205.66666666666666
2889,155,10,300,-1,1848,1308,32,3,204.33333333333334
2293,93,13,67,12,162,391,11,4,188.66666666666666
2283,125,10,30,4,212,391,11,4,198.66666666666666
2276,36,6,0,0,255,400,10,4,196.33333333333334
2285,5,19,108,25,417,492,10,4,177.0
2262,38,21,60,11,553,618,10,4,167.33333333333334
2247,63,11,30,0,594,626,10,4,189.66666666666666
2241,162,5,0,0,638,569,10,4,205.33333333333334
2211,128,8,0,0,778,376,14,4,200.66666666666666
2209,177,5,0,0,793,350,14,4,206.33333333333334
2213,313,8,0,0,808,324,14,4,202.66666666666666
2222,229,14,0,0,1266,424,17,4,213.0
2208,118,9,0,0,1261,616,17,4,198.33333333333334
2204,178,17,0,0,1263,638,17,4,207.33333333333334
2193,38,24,0,0,1338,939,17,4,160.33333333333334
2297,337,35,190,142,1260,1300,10,4,154.0
2139,351,6,0,0,816,1538,17,4,199.66666666666666
2370,37,12,446,176,916,1465,6,4,187.0
2366,66,12,424,172,932,1451,6,4,187.0
2359,85,11,404,165,949,1425,6,4,190.33333333333334
2355,100,11,384,162,966,1399,6,4,193.0
2349,108,14,361,156,984,1374,6,4,190.66666666666666
2340,109,19,339,147,1003,1348,6,4,183.33333333333334
2327,107,24,319,140,1022,1323,6,4,173.66666666666666
2258,156,19,212,77,1110,1200,3,4,199.0
2261,205,22,192,81,1129,1176,3,4,211.0
2257,142,29,127,76,1189,1106,3,4,182.0
2214,135,30,42,26,1273,1018,3,4,175.66666666666666
2200,127,32,30,17,1294,997,3,4,167.66666666666666
2168,113,19,0,0,1338,957,3,4,184.33333333333334
2273,320,26,85,36,1366,720,10,4,181.66666666666666
2327,338,28,192,37,1338,446,10,4,169.33333333333334
2336,332,21,175,46,1328,418,10,4,185.0
2344,42,7,134,35,1277,234,6,4,194.33333333333334
2341,98,2,108,14,1269,192,6,4,203.0
2326,52,3,0,0,1260,153,6,4,201.0
2325,28,12,0,0,1260,162,6,4,187.0
2353,347,13,175,51,1283,390,6,4,191.66666666666666
2355,356,6,212,60,1295,361,6,4,198.66666666666666
2089,36,4,0,0,942,741,3,4,199.0
2094,341,13,0,0,916,769,14,4,192.66666666666666
2157,343,30,134,83,745,960,10,4,163.33333333333334
2204,318,21,295,137,618,860,10,4,190.33333333333334
2147,62,29,124,52,513,779,1,4,149.66666666666666
2158,347,28,192,112,524,771,10,4,164.0
2156,11,31,212,117,537,779,10,4,148.33333333333334
2153,358,31,283,121,540,808,10,4,153.33333333333334
2106,142,30,67,32,240,825,1,4,179.66666666666666
3210,10,17,90,19,3583,3360,23,1,180.0
